ct_file,mask_file,resized_ct_file,resized_mask_file,label,set,fold
datasets/train/ct_scans/ct_825.png,datasets/train/masks/mask_825.png,datasets/train/resized_ct_scans/ct_825.png,datasets/train/resized_masks/mask_825.png,2,train,0
datasets/train/ct_scans/ct_2949.png,datasets/train/masks/mask_2949.png,datasets/train/resized_ct_scans/ct_2949.png,datasets/train/resized_masks/mask_2949.png,1,train,0
datasets/train/ct_scans/ct_3167.png,datasets/train/masks/mask_3167.png,datasets/train/resized_ct_scans/ct_3167.png,datasets/train/resized_masks/mask_3167.png,0,train,0
datasets/train/ct_scans/ct_955.png,datasets/train/masks/mask_955.png,datasets/train/resized_ct_scans/ct_955.png,datasets/train/resized_masks/mask_955.png,1,train,0
datasets/train/ct_scans/ct_2309.png,datasets/train/masks/mask_2309.png,datasets/train/resized_ct_scans/ct_2309.png,datasets/train/resized_masks/mask_2309.png,0,train,0
datasets/train/ct_scans/ct_3482.png,datasets/train/masks/mask_3482.png,datasets/train/resized_ct_scans/ct_3482.png,datasets/train/resized_masks/mask_3482.png,2,train,0
datasets/train/ct_scans/ct_2209.png,datasets/train/masks/mask_2209.png,datasets/train/resized_ct_scans/ct_2209.png,datasets/train/resized_masks/mask_2209.png,2,test,0
datasets/train/ct_scans/ct_3527.png,datasets/train/masks/mask_3527.png,datasets/train/resized_ct_scans/ct_3527.png,datasets/train/resized_masks/mask_3527.png,2,train,0
datasets/train/ct_scans/ct_1644.png,datasets/train/masks/mask_1644.png,datasets/train/resized_ct_scans/ct_1644.png,datasets/train/resized_masks/mask_1644.png,2,train,0
datasets/train/ct_scans/ct_2722.png,datasets/train/masks/mask_2722.png,datasets/train/resized_ct_scans/ct_2722.png,datasets/train/resized_masks/mask_2722.png,2,validation,0
datasets/train/ct_scans/ct_754.png,datasets/train/masks/mask_754.png,datasets/train/resized_ct_scans/ct_754.png,datasets/train/resized_masks/mask_754.png,2,train,0
datasets/train/ct_scans/ct_2268.png,datasets/train/masks/mask_2268.png,datasets/train/resized_ct_scans/ct_2268.png,datasets/train/resized_masks/mask_2268.png,1,train,0
datasets/train/ct_scans/ct_2132.png,datasets/train/masks/mask_2132.png,datasets/train/resized_ct_scans/ct_2132.png,datasets/train/resized_masks/mask_2132.png,1,train,0
datasets/train/ct_scans/ct_1749.png,datasets/train/masks/mask_1749.png,datasets/train/resized_ct_scans/ct_1749.png,datasets/train/resized_masks/mask_1749.png,0,test,0
datasets/train/ct_scans/ct_710.png,datasets/train/masks/mask_710.png,datasets/train/resized_ct_scans/ct_710.png,datasets/train/resized_masks/mask_710.png,2,train,0
datasets/train/ct_scans/ct_1393.png,datasets/train/masks/mask_1393.png,datasets/train/resized_ct_scans/ct_1393.png,datasets/train/resized_masks/mask_1393.png,0,train,0
datasets/train/ct_scans/ct_1799.png,datasets/train/masks/mask_1799.png,datasets/train/resized_ct_scans/ct_1799.png,datasets/train/resized_masks/mask_1799.png,2,train,0
datasets/train/ct_scans/ct_661.png,datasets/train/masks/mask_661.png,datasets/train/resized_ct_scans/ct_661.png,datasets/train/resized_masks/mask_661.png,2,train,0
datasets/train/ct_scans/ct_1951.png,datasets/train/masks/mask_1951.png,datasets/train/resized_ct_scans/ct_1951.png,datasets/train/resized_masks/mask_1951.png,2,train,0
datasets/train/ct_scans/ct_204.png,datasets/train/masks/mask_204.png,datasets/train/resized_ct_scans/ct_204.png,datasets/train/resized_masks/mask_204.png,2,train,0
datasets/train/ct_scans/ct_3248.png,datasets/train/masks/mask_3248.png,datasets/train/resized_ct_scans/ct_3248.png,datasets/train/resized_masks/mask_3248.png,0,train,0
datasets/train/ct_scans/ct_3363.png,datasets/train/masks/mask_3363.png,datasets/train/resized_ct_scans/ct_3363.png,datasets/train/resized_masks/mask_3363.png,1,train,0
datasets/train/ct_scans/ct_2237.png,datasets/train/masks/mask_2237.png,datasets/train/resized_ct_scans/ct_2237.png,datasets/train/resized_masks/mask_2237.png,0,train,0
datasets/train/ct_scans/ct_1325.png,datasets/train/masks/mask_1325.png,datasets/train/resized_ct_scans/ct_1325.png,datasets/train/resized_masks/mask_1325.png,0,test,0
datasets/train/ct_scans/ct_804.png,datasets/train/masks/mask_804.png,datasets/train/resized_ct_scans/ct_804.png,datasets/train/resized_masks/mask_804.png,2,train,0
datasets/train/ct_scans/ct_2430.png,datasets/train/masks/mask_2430.png,datasets/train/resized_ct_scans/ct_2430.png,datasets/train/resized_masks/mask_2430.png,1,test,0
datasets/train/ct_scans/ct_210.png,datasets/train/masks/mask_210.png,datasets/train/resized_ct_scans/ct_210.png,datasets/train/resized_masks/mask_210.png,1,train,0
datasets/train/ct_scans/ct_1699.png,datasets/train/masks/mask_1699.png,datasets/train/resized_ct_scans/ct_1699.png,datasets/train/resized_masks/mask_1699.png,0,train,0
datasets/train/ct_scans/ct_2606.png,datasets/train/masks/mask_2606.png,datasets/train/resized_ct_scans/ct_2606.png,datasets/train/resized_masks/mask_2606.png,0,train,0
datasets/train/ct_scans/ct_1462.png,datasets/train/masks/mask_1462.png,datasets/train/resized_ct_scans/ct_1462.png,datasets/train/resized_masks/mask_1462.png,1,test,0
datasets/train/ct_scans/ct_3381.png,datasets/train/masks/mask_3381.png,datasets/train/resized_ct_scans/ct_3381.png,datasets/train/resized_masks/mask_3381.png,0,train,0
datasets/train/ct_scans/ct_387.png,datasets/train/masks/mask_387.png,datasets/train/resized_ct_scans/ct_387.png,datasets/train/resized_masks/mask_387.png,1,validation,0
datasets/train/ct_scans/ct_722.png,datasets/train/masks/mask_722.png,datasets/train/resized_ct_scans/ct_722.png,datasets/train/resized_masks/mask_722.png,2,train,0
datasets/train/ct_scans/ct_1183.png,datasets/train/masks/mask_1183.png,datasets/train/resized_ct_scans/ct_1183.png,datasets/train/resized_masks/mask_1183.png,0,train,0
datasets/train/ct_scans/ct_2645.png,datasets/train/masks/mask_2645.png,datasets/train/resized_ct_scans/ct_2645.png,datasets/train/resized_masks/mask_2645.png,2,test,0
datasets/train/ct_scans/ct_415.png,datasets/train/masks/mask_415.png,datasets/train/resized_ct_scans/ct_415.png,datasets/train/resized_masks/mask_415.png,1,train,0
datasets/train/ct_scans/ct_1820.png,datasets/train/masks/mask_1820.png,datasets/train/resized_ct_scans/ct_1820.png,datasets/train/resized_masks/mask_1820.png,2,train,0
datasets/train/ct_scans/ct_3156.png,datasets/train/masks/mask_3156.png,datasets/train/resized_ct_scans/ct_3156.png,datasets/train/resized_masks/mask_3156.png,1,validation,0
datasets/train/ct_scans/ct_973.png,datasets/train/masks/mask_973.png,datasets/train/resized_ct_scans/ct_973.png,datasets/train/resized_masks/mask_973.png,0,train,0
datasets/train/ct_scans/ct_2381.png,datasets/train/masks/mask_2381.png,datasets/train/resized_ct_scans/ct_2381.png,datasets/train/resized_masks/mask_2381.png,2,train,0
datasets/train/ct_scans/ct_3000.png,datasets/train/masks/mask_3000.png,datasets/train/resized_ct_scans/ct_3000.png,datasets/train/resized_masks/mask_3000.png,0,train,0
datasets/train/ct_scans/ct_1381.png,datasets/train/masks/mask_1381.png,datasets/train/resized_ct_scans/ct_1381.png,datasets/train/resized_masks/mask_1381.png,2,train,0
datasets/train/ct_scans/ct_3241.png,datasets/train/masks/mask_3241.png,datasets/train/resized_ct_scans/ct_3241.png,datasets/train/resized_masks/mask_3241.png,1,test,0
datasets/train/ct_scans/ct_2950.png,datasets/train/masks/mask_2950.png,datasets/train/resized_ct_scans/ct_2950.png,datasets/train/resized_masks/mask_2950.png,0,test,0
datasets/train/ct_scans/ct_64.png,datasets/train/masks/mask_64.png,datasets/train/resized_ct_scans/ct_64.png,datasets/train/resized_masks/mask_64.png,1,train,0
datasets/train/ct_scans/ct_356.png,datasets/train/masks/mask_356.png,datasets/train/resized_ct_scans/ct_356.png,datasets/train/resized_masks/mask_356.png,0,validation,0
datasets/train/ct_scans/ct_1209.png,datasets/train/masks/mask_1209.png,datasets/train/resized_ct_scans/ct_1209.png,datasets/train/resized_masks/mask_1209.png,2,train,0
datasets/train/ct_scans/ct_3447.png,datasets/train/masks/mask_3447.png,datasets/train/resized_ct_scans/ct_3447.png,datasets/train/resized_masks/mask_3447.png,0,train,0
datasets/train/ct_scans/ct_217.png,datasets/train/masks/mask_217.png,datasets/train/resized_ct_scans/ct_217.png,datasets/train/resized_masks/mask_217.png,1,train,0
datasets/train/ct_scans/ct_2932.png,datasets/train/masks/mask_2932.png,datasets/train/resized_ct_scans/ct_2932.png,datasets/train/resized_masks/mask_2932.png,0,train,0
datasets/train/ct_scans/ct_1278.png,datasets/train/masks/mask_1278.png,datasets/train/resized_ct_scans/ct_1278.png,datasets/train/resized_masks/mask_1278.png,2,validation,0
datasets/train/ct_scans/ct_1651.png,datasets/train/masks/mask_1651.png,datasets/train/resized_ct_scans/ct_1651.png,datasets/train/resized_masks/mask_1651.png,1,train,0
datasets/train/ct_scans/ct_2557.png,datasets/train/masks/mask_2557.png,datasets/train/resized_ct_scans/ct_2557.png,datasets/train/resized_masks/mask_2557.png,2,validation,0
datasets/train/ct_scans/ct_3135.png,datasets/train/masks/mask_3135.png,datasets/train/resized_ct_scans/ct_3135.png,datasets/train/resized_masks/mask_3135.png,0,validation,0
datasets/train/ct_scans/ct_880.png,datasets/train/masks/mask_880.png,datasets/train/resized_ct_scans/ct_880.png,datasets/train/resized_masks/mask_880.png,2,train,0
datasets/train/ct_scans/ct_3092.png,datasets/train/masks/mask_3092.png,datasets/train/resized_ct_scans/ct_3092.png,datasets/train/resized_masks/mask_3092.png,1,train,0
datasets/train/ct_scans/ct_1088.png,datasets/train/masks/mask_1088.png,datasets/train/resized_ct_scans/ct_1088.png,datasets/train/resized_masks/mask_1088.png,0,train,0
datasets/train/ct_scans/ct_3465.png,datasets/train/masks/mask_3465.png,datasets/train/resized_ct_scans/ct_3465.png,datasets/train/resized_masks/mask_3465.png,2,train,0
datasets/train/ct_scans/ct_35.png,datasets/train/masks/mask_35.png,datasets/train/resized_ct_scans/ct_35.png,datasets/train/resized_masks/mask_35.png,2,test,0
datasets/train/ct_scans/ct_298.png,datasets/train/masks/mask_298.png,datasets/train/resized_ct_scans/ct_298.png,datasets/train/resized_masks/mask_298.png,1,train,0
datasets/train/ct_scans/ct_1256.png,datasets/train/masks/mask_1256.png,datasets/train/resized_ct_scans/ct_1256.png,datasets/train/resized_masks/mask_1256.png,2,test,0
datasets/train/ct_scans/ct_745.png,datasets/train/masks/mask_745.png,datasets/train/resized_ct_scans/ct_745.png,datasets/train/resized_masks/mask_745.png,2,train,0
datasets/train/ct_scans/ct_3472.png,datasets/train/masks/mask_3472.png,datasets/train/resized_ct_scans/ct_3472.png,datasets/train/resized_masks/mask_3472.png,1,validation,0
datasets/train/ct_scans/ct_2248.png,datasets/train/masks/mask_2248.png,datasets/train/resized_ct_scans/ct_2248.png,datasets/train/resized_masks/mask_2248.png,2,train,0
datasets/train/ct_scans/ct_768.png,datasets/train/masks/mask_768.png,datasets/train/resized_ct_scans/ct_768.png,datasets/train/resized_masks/mask_768.png,0,test,0
datasets/train/ct_scans/ct_1914.png,datasets/train/masks/mask_1914.png,datasets/train/resized_ct_scans/ct_1914.png,datasets/train/resized_masks/mask_1914.png,0,train,0
datasets/train/ct_scans/ct_615.png,datasets/train/masks/mask_615.png,datasets/train/resized_ct_scans/ct_615.png,datasets/train/resized_masks/mask_615.png,2,train,0
